"date","brl","cny","mxn","brl_interpolated","cny_interpolated","mxn_interpolated"
2012-10-19,2.0269,6.2533,12.8605,FALSE,FALSE,FALSE
2012-10-20,2.0269,6.2533,12.8605,TRUE,TRUE,TRUE
2012-10-21,2.0269,6.2533,12.8605,TRUE,TRUE,TRUE
2012-10-22,2.024,6.2543,12.8594,FALSE,FALSE,FALSE
2012-10-23,2.0284,6.2478,12.981,FALSE,FALSE,FALSE
2012-10-24,2.0267,6.2478,12.9997,FALSE,FALSE,FALSE
2012-10-25,2.0254,6.2416,12.9815,FALSE,FALSE,FALSE
2012-10-26,2.025,6.248,13.0198,FALSE,FALSE,FALSE
2012-10-27,2.025,6.248,13.0198,TRUE,TRUE,TRUE
2012-10-28,2.025,6.248,13.0198,TRUE,TRUE,TRUE
2012-10-29,2.0295,6.2384,13.0925,FALSE,FALSE,FALSE
2012-10-30,2.031,6.2396,13.044,FALSE,FALSE,FALSE
2012-10-31,2.0298,6.2372,13.0877,FALSE,FALSE,FALSE
2012-11-01,2.0304,6.2393,13.037,FALSE,FALSE,FALSE
2012-11-02,2.0304,6.2411,12.9808,FALSE,FALSE,FALSE
2012-11-03,2.0304,6.2411,12.9808,TRUE,TRUE,TRUE
2012-11-04,2.0304,6.2411,12.9808,TRUE,TRUE,TRUE
2012-11-05,2.0344,6.2452,13.0486,FALSE,FALSE,FALSE
2012-11-06,2.033,6.2454,12.9652,FALSE,FALSE,FALSE
2012-11-07,2.0335,6.2435,13.0639,FALSE,FALSE,FALSE
2012-11-08,2.0397,6.2427,13.1158,FALSE,FALSE,FALSE
2012-11-09,2.0475,6.245,13.1763,FALSE,FALSE,FALSE
2012-11-10,2.0475,6.245,13.1763,TRUE,TRUE,TRUE
2012-11-11,2.0475,6.245,13.1763,TRUE,TRUE,TRUE
2012-11-12,2.0475,6.245,13.1763,TRUE,TRUE,TRUE
2012-11-13,2.0638,6.226,13.2206,FALSE,FALSE,FALSE
2012-11-14,2.068,6.225,13.2225,FALSE,FALSE,FALSE
2012-11-15,2.0663,6.2329,13.2531,FALSE,FALSE,FALSE
2012-11-16,2.0781,6.2354,13.1831,FALSE,FALSE,FALSE
2012-11-17,2.0781,6.2354,13.1831,TRUE,TRUE,TRUE
2012-11-18,2.0781,6.2354,13.1831,TRUE,TRUE,TRUE
2012-11-19,2.0725,6.2343,13.0601,FALSE,FALSE,FALSE
2012-11-20,2.08,6.2324,13.0145,FALSE,FALSE,FALSE
2012-11-21,2.0962,6.23,13.05,FALSE,FALSE,FALSE
2012-11-22,2.0962,6.23,13.05,TRUE,TRUE,TRUE
2012-11-23,2.0872,6.2275,12.9822,FALSE,FALSE,FALSE
2012-11-24,2.0872,6.2275,12.9822,TRUE,TRUE,TRUE
2012-11-25,2.0872,6.2275,12.9822,TRUE,TRUE,TRUE
2012-11-26,2.0838,6.2253,13.0055,FALSE,FALSE,FALSE
2012-11-27,2.075,6.2221,12.9766,FALSE,FALSE,FALSE
2012-11-28,2.09,6.2273,13.0273,FALSE,FALSE,FALSE
2012-11-29,2.1028,6.2281,12.9775,FALSE,FALSE,FALSE
2012-11-30,2.1118,6.2265,12.9171,FALSE,FALSE,FALSE
2012-12-01,2.1118,6.2265,12.9171,TRUE,TRUE,TRUE
2012-12-02,2.1118,6.2265,12.9171,TRUE,TRUE,TRUE
2012-12-03,2.1141,6.2277,12.9255,FALSE,FALSE,FALSE
2012-12-04,2.1133,6.2254,12.9596,FALSE,FALSE,FALSE
2012-12-05,2.1005,6.2251,12.926,FALSE,FALSE,FALSE
2012-12-06,2.079,6.2282,12.9076,FALSE,FALSE,FALSE
2012-12-07,2.08,6.2299,12.8503,FALSE,FALSE,FALSE
2012-12-08,2.08,6.2299,12.8503,TRUE,TRUE,TRUE
